area_terreno,area_construida,area_ocupada,ano_construcao,quantidade_pavimentos,valor_venal,valor_m2_construcao,bairro,valor_iptu_ano,area_privativa,vagas,quartos,banheiros,valor_condominio,valor_aluguel,preco,academia,cafe,farmacia,padaria,restaurantes,shopping,supermercado,area_comercial,area_industrial_logistico,area_outros,area_residencial,area_servico,caminhabilidade,metro_distancia,metro_linha,metro_estacao
1530,383,1188,1991,21,1758500,3092,BAIRRO003,13145.3,320,3,4,6,3733,16657,4083273,23.0,6.0,1.0,5.0,13.0,0.0,2.0,1.48,0.0,4.77,92.2,1.55,Áreas planas ou com declividades muito suaves,951.0,LINHA005,ESTACAO007
800,392,228,1989,17,1819930,3092,BAIRRO003,13841.7,205,3,4,4,3082,8030,2372264,20.0,7.0,1.0,5.0,12.0,0.0,2.0,2.92,0.0,3.06,85.86,8.16,Áreas planas ou com declividades muito suaves,1018.0,LINHA005,ESTACAO007
800,407,228,1989,17,1882740,3092,BAIRRO003,14431.6,214,4,4,4,3217,8383,2532376,20.0,7.0,1.0,5.0,12.0,0.0,2.0,2.92,0.0,3.06,85.86,8.16,Áreas planas ou com declividades muito suaves,1018.0,LINHA005,ESTACAO007
4770,250,1197,1988,18,971440,2497,BAIRRO003,6138.57,147,2,4,4,1568,5865,1557554,20.0,7.0,1.0,5.0,13.0,0.0,2.0,1.48,0.0,4.77,92.2,1.55,Áreas planas ou com declividades muito suaves,1003.0,LINHA005,ESTACAO007
4770,277,1197,1988,18,1063910,2497,BAIRRO003,6935.85,156,2,4,3,1664,6224,1632134,20.0,7.0,1.0,5.0,13.0,0.0,2.0,1.48,0.0,4.77,92.2,1.55,Áreas planas ou com declividades muito suaves,1003.0,LINHA005,ESTACAO007
800,248,283,1987,13,997733,2497,BAIRRO003,6481.47,134,2,3,3,1808,4963,1148762,21.0,7.0,1.0,5.0,14.0,0.0,3.0,5.57,0.0,6.27,72.14,16.02,Região Plana - Confortável para caminhar,1051.0,LINHA005,ESTACAO007
800,375,283,1987,13,1510240,2497,BAIRRO003,10849.2,200,2,3,3,2699,7407,1844452,21.0,7.0,1.0,5.0,14.0,0.0,3.0,5.57,0.0,6.27,72.14,16.02,Região Plana - Confortável para caminhar,1051.0,LINHA005,ESTACAO007
1000,386,250,1985,17,1699530,3092,BAIRRO003,12875.7,229,3,4,4,2454,7355,1870349,16.0,7.0,1.0,5.0,15.0,0.0,4.0,5.57,0.0,6.27,72.14,16.02,Região Plana - Confortável para caminhar,1073.0,LINHA005,ESTACAO007
1000,599,250,1985,17,2638030,3092,BAIRRO003,22092.8,500,5,4,5,5358,16059,4933025,16.0,7.0,1.0,5.0,15.0,0.0,4.0,5.57,0.0,6.27,72.14,16.02,Região Plana - Confortável para caminhar,1073.0,LINHA005,ESTACAO007
600,268,207,1988,14,1278720,2497,BAIRRO003,4088.02,181,3,3,4,2440,7055,1899811,15.0,8.0,1.0,5.0,14.0,0.0,4.0,5.26,0.0,6.15,77.79,10.8,Região Plana - Confortável para caminhar,1123.0,LINHA005,ESTACAO007
1425,118,444,1977,13,442575,2139,BAIRRO003,1485.47,98,1,3,3,1300,3217,758336,15.0,8.0,1.0,5.0,14.0,0.0,4.0,5.26,0.0,6.15,77.79,10.8,Região Plana - Confortável para caminhar,1151.0,LINHA005,ESTACAO007
