area_terreno,area_construida,area_ocupada,ano_construcao,quantidade_pavimentos,valor_venal,valor_m2_construcao,bairro,valor_iptu_ano,area_privativa,vagas,quartos,banheiros,valor_condominio,valor_aluguel,preco,academia,cafe,farmacia,padaria,restaurantes,shopping,supermercado,area_comercial,area_industrial_logistico,area_outros,area_residencial,area_servico,caminhabilidade,metro_distancia,metro_linha,metro_estacao
1024,310,600,1970,15,1307790,2497,BAIRRO007,8338.59,207,2,3,3,2219,7595,1763850,5.0,2.0,0.0,5.0,14.0,0.0,0.0,2.05,0.0,4.61,86.38,6.96,Região com ruas íngremes,1403.0,LINHA001,ESTACAO001
654,337,200,1949,8,1718970,2139,BAIRRO007,8060.74,157,1,3,3,2221,4907,1330581,5.0,2.0,0.0,5.0,16.0,0.0,0.0,1.53,0.0,3.51,80.34,14.62,Região com ruas íngremes,1424.0,LINHA001,ESTACAO001
1710,646,600,1977,16,2818670,2497,BAIRRO007,19400.8,408,5,4,5,4704,9906,5072857,4.0,2.0,0.0,4.0,15.0,0.0,0.0,2.2,0.0,9.56,71.68,16.55,Região com ruas íngremes,1437.0,LINHA001,ESTACAO001
1720,208,840,1973,13,978808,2497,BAIRRO007,5077.53,125,2,3,3,1265,4290,1193233,3.0,2.0,0.0,3.0,15.0,0.0,0.0,2.2,0.0,9.56,71.68,16.55,Região com ruas íngremes,1484.0,LINHA001,ESTACAO001
1720,243,840,1973,13,1146230,2497,BAIRRO007,6092.91,127,2,3,3,1285,4359,1261751,3.0,2.0,0.0,3.0,15.0,0.0,0.0,2.2,0.0,9.56,71.68,16.55,Região com ruas íngremes,1484.0,LINHA001,ESTACAO001
2960,871,900,1970,16,5570720,3599,BAIRRO007,42119.9,628,4,3,4,5856,12233,7275000,3.0,2.0,0.0,3.0,12.0,0.0,0.0,2.2,0.0,9.56,71.68,16.55,Região com ruas íngremes,1470.0,LINHA001,ESTACAO001
553,360,280,1971,14,1511180,2497,BAIRRO007,8932.76,230,2,3,2,4100,10051,1809592,2.0,2.0,0.0,3.0,12.0,0.0,0.0,2.2,0.0,9.56,71.68,16.55,Região com ruas íngremes,1469.0,LINHA001,ESTACAO001
900,233,300,1972,13,875154,2497,BAIRRO007,4372.2,155,2,3,4,2108,4280,1277247,2.0,2.0,0.0,2.0,11.0,0.0,0.0,2.2,0.0,9.56,71.68,16.55,Região com ruas íngremes,1489.0,LINHA001,ESTACAO001
900,271,300,1972,13,1018660,2497,BAIRRO007,5626.04,212,2,3,4,2883,5854,1799570,2.0,2.0,0.0,2.0,11.0,0.0,0.0,2.2,0.0,9.56,71.68,16.55,Região com ruas íngremes,1489.0,LINHA001,ESTACAO001
1733,291,600,1970,11,1818020,2497,BAIRRO007,10742.8,220,2,3,3,2321,7623,3180000,2.0,3.0,0.0,2.0,11.0,0.0,0.0,2.2,0.0,9.56,71.68,16.55,Região com ruas íngremes,1460.0,LINHA001,ESTACAO001
1100,445,742,1965,17,1759910,2497,BAIRRO007,12479.1,380,2,3,4,4350,3000,4012167,2.0,3.0,0.0,2.0,11.0,0.0,0.0,3.68,0.0,18.04,71.83,6.45,Região com ruas íngremes,1456.0,LINHA001,ESTACAO001
665,363,246,1977,19,1489000,2497,BAIRRO007,10209.6,220,2,3,3,2241,7784,2897500,2.0,3.0,0.0,2.0,11.0,0.0,0.0,3.92,0.0,1.81,89.59,4.68,Região com ruas íngremes,1436.0,LINHA001,ESTACAO001
665,619,246,1977,19,3055730,3599,BAIRRO007,26435.1,460,4,4,4,4686,16276,5763068,2.0,3.0,0.0,2.0,11.0,0.0,0.0,3.92,0.0,1.81,89.59,4.68,Região com ruas íngremes,1436.0,LINHA001,ESTACAO001
584,118,420,1971,9,270845,2139,BAIRRO011,185.59599999999998,103,1,3,3,978,2200,646610,23.0,5.0,2.0,6.0,39.0,0.0,0.0,2.99,0.0,5.17,83.89,7.96,Região com leve declive,1850.0,LINHA003,ESTACAO009
914,136,242,1987,14,473975,2139,BAIRRO011,2350.58,100,2,3,2,1600,2923,655959,21.0,5.0,2.0,6.0,40.0,0.0,0.0,5.77,0.91,7.0,77.5,8.83,Região com leve declive,1852.0,LINHA003,ESTACAO009
1403,230,1209,2005,21,1004310,2497,BAIRRO011,6335.9,135,3,4,3,1392,4994,1214020,20.0,5.0,3.0,6.0,38.0,0.0,0.0,2.99,0.0,5.17,83.89,7.96,Região com leve declive,1872.0,LINHA003,ESTACAO009
1403,241,1209,2005,21,1049990,2497,BAIRRO011,6720.85,140,3,4,4,1444,5179,1330627,20.0,5.0,3.0,6.0,38.0,0.0,0.0,2.99,0.0,5.17,83.89,7.96,Região com leve declive,1872.0,LINHA003,ESTACAO009
787,203,787,1996,15,811497,2497,BAIRRO011,5033.87,105,2,3,3,1386,3898,861429,22.0,6.0,4.0,8.0,38.0,0.0,0.0,3.42,0.24,5.76,87.25,3.32,Áreas planas ou com declividades muito suaves,1971.0,LINHA003,ESTACAO009
787,313,787,1996,15,1231550,2497,BAIRRO011,8454.38,168,3,3,4,2218,6237,1537060,22.0,6.0,4.0,8.0,38.0,0.0,0.0,3.42,0.24,5.76,87.25,3.32,Áreas planas ou com declividades muito suaves,1971.0,LINHA003,ESTACAO009
1040,83,320,1980,12,290781,2139,BAIRRO011,122.838,68,1,2,2,1065,2645,524369,20.0,6.0,2.0,8.0,39.0,0.0,0.0,7.18,1.6,7.33,77.21,6.68,Região com leve declive,1982.0,LINHA003,ESTACAO009
1211,128,1100,1997,20,427866,2139,BAIRRO011,2090.52,66,1,2,2,805,3277,609712,18.0,6.0,4.0,8.0,38.0,0.0,0.0,4.79,0.26,9.07,76.65,9.24,Região com leve declive,1324.0,LINHA003,ESTACAO011
